cod,nom,archivo_crudo,archivo_destino,estado,detalle
,,"LIMA MUSA REDONDA 12"" SURTEK (120363).png",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PIJA GALV. 8 X 1 12"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA PARA CONCRETO IRWIN  316"" X 39 MM LARGO.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"VARILLA ROSCADA DE 34"" X 1 MTS.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PORTAELECTRODO DE 500 AMP. INFRA.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO DEXTER LATON 25 MM GL (6939).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCHA MANGO PLASTICO 3"" FOY (142655).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA DEXTER RESIDENCIAL TRIPOLI (4187).png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TENAZA PTIERRA 300 AMP SURTEK (118007).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"SIERRA CORTACIRCULOS BIMETAL 78"" (14L 30014 ).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,APACHE DERECHO.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MENSULA DE ACERO 10 X 16 BLANCO SURTEK (137827).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MENSULA DE ACERO 8 X 12 GRIS SURTEK (137820).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,C512.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"GUARDACABO PCABLE DE ACERO 14"" SURTEK (GC3).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,83519_U1_142652.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MICA TRANSP. AUM. 1.5 DIOPT. (8529).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO. SIERRAS CORTACIRCULOS 4PZA.(JCS4).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CANASTA O PIÑA GRIEGA NO.7 P58"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA ZINTRO DE 5 X 1.83 CB CUAD. RECT..webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"DISCO LAMINADO FANDELI GRANO 60 4 12""(046064).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA DEXTER MANIJA LBRILLANTE (6641).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CORTADORA BOSCH ( GCO2000).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DISCO LAMINADO FANDELI GRANO 60 412(64815).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA PARA CONCRETO  MAK  38"" X 12"" D24418.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,GUANTE MECANICO ANTIVIB. G URREA (USGVG).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,SEGUETA LENOX (24DPP 624R).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,RETOÑO DERECHO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"LIMA TRIANGULAR 8"" (120378).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"DISCO PFERD GRANO 80 4 12"" POLIFAN (034338).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA Z. DE 3 X .915 CB CUAD. RECT. CHAPETON.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,SOMBRERO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,REMACHE POP 610 LF.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CABEZA DE LEON.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA PHILLIPS ALUM. 525 DOBLE CILINDRO.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCHA MANGO PLASTICO 1 12"" FOY (142652).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CARDA COPA ONDULADO 3"" X 58"" (123228).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,LUNA GRANDE.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 4X6.5 CAJA GDE. C-22.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"LIMA BASTARDA REDONDA 4"" SURTEK (120350).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,HOJA JULIETA.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,SOL GRANDE.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MODULO CONTEMPORANEO NO 2.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA DEXTER RESIDENCIAL TRIPOLI(6754).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PASADOR DEXTER MAUSER 2"" LATON(4065).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 4X3 CB 1.00 MTS X 91.5 CM.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO. RIEL CAJON TELESC. 40 CM 3604 (014512).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"VARILLA ROSCADA DE 38"" X 1 MTS.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MASCARILLA SENCILLA(CODIGO-8288).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,RACK DESPACHADOR PMARROS 2 A 4LB (RMARRO).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,GALVATUBING LAM.GALV. Z ALUM REC 4.27.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 4X6 CAJA GDE. C-22.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"SOLD. ACERO INOX. 18""(ARCWEL308-L16)(29PZA).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,LINTERNA LED TSLIM RECA 400LM.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TUCAN.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO DEXTER METAL 40MM COMBO (6924).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,FLOR DE CACTUS.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"DESTORNILLADOR PLANO 316"" X 4"" SURTEK (D202).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PIJA MULT. 6X1 SURTEK (PM61)100PZ..jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CERROJO DOBLE CILINDRO BRILLANTE (6336).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"JGO DADOS TORX HEMB 38"" 10 PZ ( 5200TX ).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V.png",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MICA TRANSP. 2.5 AUM. DIOPT. (8530).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TORNILLO HEX. GALV. 14"" X 3"".jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
